VPC,NetworkInterfaceId,SubnetId,VpcId,InterfaceType,Status,PrivateIpAddress,PublicIp,MacAddress,Description,OwnerId,AttachmentId,InstanceId,DeviceIndex,SecurityGroups,Tags
"devops-locked-vpc","eni-0333a5f26ecfbe3d3","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.145","-","02:d5:d1:6b:31:b3","VPC Endpoint Interface vpce-0183586ade28a3487","***","ela-attach-015758e34afc7161d","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-008beffa32e97cea5","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.232","-","02:3c:03:92:85:0b","VPC Endpoint Interface vpce-08dbbd58f7573d512","***","ela-attach-059fd906dc954376d","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-036c6bc4322541945","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.253","-","02:eb:90:bb:2d:43","VPC Endpoint Interface vpce-07e3c737e14d68440","***","ela-attach-065c56ff9c2df7a4f","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-0b3b46a62db3f2b50","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.57","-","02:71:69:be:4f:db","VPC Endpoint Interface vpce-0e4c07aa29817be75","***","ela-attach-00db204da02476a86","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-0f125d18eb8b3ab69","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.173","-","02:62:21:a3:95:c3","VPC Endpoint Interface vpce-04586057e6b9b81db","***","ela-attach-06e6ca5585e92bdb2","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-0480056519e4fc83b","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.86","-","02:8c:d2:f9:e7:d5","VPC Endpoint Interface vpce-02956469f1b13181d","***","ela-attach-08d0d2576a6a23343","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-037bfcb48e40337b1","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.217","-","02:a3:a9:3e:fb:bb","VPC Endpoint Interface vpce-0b3ff0d121c4eb4ae","***","ela-attach-04fff0aa3f031aa69","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-03c5529fcc6eb85c8","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.37","-","02:95:10:bc:13:fd","VPC Endpoint Interface vpce-086fb7be5b7d2272d","***","ela-attach-0f5305d37a553ec83","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-04e061e5cabd22dfa","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.23","-","02:07:d0:97:9f:11","VPC Endpoint Interface vpce-0e0e6e23dc2b93126","***","ela-attach-02bfd6f07494ec853","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-0aee84ac0b5b89fc5","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.113","-","02:42:c8:0f:da:3b","VPC Endpoint Interface vpce-0112c1a1538953d7d","***","ela-attach-0a9af60662e8d09cf","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-01e634f18e3dea91a","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.32","-","02:60:45:11:3e:cb","VPC Endpoint Interface vpce-0b642e67cbc147924","***","ela-attach-066f2b94613644a69","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-05bb8586e2fb873f7","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","transit_gateway","in-use","10.2.1.72","-","02:62:e5:6f:e6:bf","Network Interface for Transit Gateway Attachment tgw-attach-0a3e2ed35a7e0b36b","***","ela-attach-0c510a2b30c936f3c","-","1","",""
"devops-locked-vpc","eni-04ab9e057532facfe","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","interface","in-use","10.2.1.191","-","02:3c:52:6f:7e:99","","***","eni-attach-06927e3e4562a32a9","i-0cfc29aca7e1130c3","0","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-locked-vpc","eni-07629cb0c7a42ed3f","subnet-0a7863c4791ae49f2","vpc-0f7fa8fdff02da590","vpc_endpoint","in-use","10.2.1.198","-","02:34:63:58:c9:a9","VPC Endpoint Interface vpce-03cc85fabe0665b8a","***","ela-attach-0b90da7c8347d4d7f","-","1","sg-0e7e142f6e32a870f=network-mapping-DevOpsSSMEndpointSG-17xbfCK1105T",""
"devops-private-vpc","eni-02909cb1102de2d5c","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","transit_gateway","in-use","10.1.1.208","-","02:0b:97:5a:bc:33","Network Interface for Transit Gateway Attachment tgw-attach-09fef679a102279f2","***","ela-attach-0a68261fdcb072a7b","-","1","",""
"devops-private-vpc","eni-0c8b54225a4b22f49","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","interface","in-use","10.1.1.106","-","02:6a:f8:e6:4f:fb","","***","eni-attach-0b2779cf4a85b8dbf","i-07dd74937c817548b","0","sg-06a55a043c365a161=network-mapping-EC2PrivateInstanceSecurityGroup-npruG2C3gq4Z",""
"devops-private-vpc","eni-0dd4ae597fddfb295","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.165","-","02:18:8c:a2:8a:b9","VPC Endpoint Interface vpce-0e10d94b19bb8ff28","***","ela-attach-08c1e58a13082b3ec","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-06cda59431066f6c0","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.124","-","02:72:0d:fd:5e:19","VPC Endpoint Interface vpce-0a040a959ee6bfde9","***","ela-attach-0587fab84c03f797e","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-0820b63c739ae490a","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.113","-","02:0a:62:c6:0c:95","VPC Endpoint Interface vpce-065c293c757e53be6","***","ela-attach-0f2511b6102bda437","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-private-vpc","eni-02f2e841b15a5533c","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.200","-","02:9e:23:25:fa:a3","VPC Endpoint Interface vpce-0612cbc252b5682ed","***","ela-attach-02c2e77a733bc4ff9","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-03ee7d9c1a7b58bca","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.213","-","02:a6:1b:2c:70:d1","VPC Endpoint Interface vpce-0a0579fa69e01569c","***","ela-attach-006e0d798bb7f0160","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-private-vpc","eni-0212ca58eeb1bc0fc","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.56","-","02:72:59:9d:9c:5b","VPC Endpoint Interface vpce-01ea8c2708257f1c9","***","ela-attach-00e3240f3c74d57c3","-","1","sg-04be87c0bbfebdcde=network-mapping-PrivateVPCEndpointSG-0DgSEpKTNTcZ",""
"devops-private-vpc","eni-0e52bbfba573100be","subnet-0ebc71f9acbeba83c","vpc-0dd98b0cb5d3ded56","vpc_endpoint","in-use","10.1.1.111","-","02:45:7b:3b:52:5d","VPC Endpoint Interface vpce-0bdcdce55c91654ce","***","ela-attach-0a272c9f537e74ed4","-","1","sg-0cdf97b87f269a5a2=network-mapping-PrivateSSMEndpointSG-y9kAAznFSNEZ",""
"devops-public-vpc","eni-097f65912e6e582e8","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","nat_gateway","in-use","10.0.1.190","13.223.16.32","02:74:b7:50:ba:27","Interface for NAT Gateway nat-049d8400adc86f196","***","ela-attach-022b01bfba451b920","-","1","",""
"devops-public-vpc","eni-07d7dc8112f5ab038","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","transit_gateway","in-use","10.0.1.193","-","02:a6:83:be:86:29","Network Interface for Transit Gateway Attachment tgw-attach-0189b5caa6e869108","***","ela-attach-05c7491e4a4094053","-","1","",""
"devops-public-vpc","eni-03fd376cea628ecb2","subnet-03ea1805ea65cba01","vpc-028b2dc2728406fd9","interface","in-use","10.0.1.18","3.213.170.119","02:b6:5d:fb:f5:e9","Bastion ENI for Public Subnet","***","eni-attach-0661d7160c981be30","i-0e64cbd9718ff9743","0","sg-0b554ea1beb59c034=network-mapping-BastionRemoteAccessSG-diMC6pIwW4kG;sg-0a5369bfe8178b904=network-mapping-EC2InstanceSecurityGroup-zHu59SlBh4tM","aws:cloudformation:logical-id=BastionENI;Name=DevOps-BastionENI;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;aws:cloudformation:stack-name=network-mapping;DevOps=true"
