VPC,RouteTableId,VpcId,OwnerId,AssociationId,AssociationState,Main,SubnetId,Destination,GatewayId,TransitGatewayId,VpcPeeringConnectionId,Origin,RouteState,Tags
"devops-locked-vpc","rtb-094fea2f99bb0acc9","vpc-0f7fa8fdff02da590","***","rtbassoc-0e530405ef03510d6","associated","false","subnet-0a7863c4791ae49f2","10.2.0.0/16","local","-","-","CreateRouteTable","active","Name=DevOps-LockedRouteTable;DevOps=true;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;aws:cloudformation:stack-name=network-mapping;aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-locked-vpc","rtb-094fea2f99bb0acc9","vpc-0f7fa8fdff02da590","***","rtbassoc-0e530405ef03510d6","associated","false","subnet-0a7863c4791ae49f2","0.0.0.0/0","-","tgw-001bc8550c79f14b9","-","CreateRoute","active","Name=DevOps-LockedRouteTable;DevOps=true;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;aws:cloudformation:stack-name=network-mapping;aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-locked-vpc","rtb-094fea2f99bb0acc9","vpc-0f7fa8fdff02da590","***","rtbassoc-0e530405ef03510d6","associated","false","subnet-0a7863c4791ae49f2","pl-63a5400a","vpce-020af608b10402b00","-","-","CreateRoute","active","Name=DevOps-LockedRouteTable;DevOps=true;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;aws:cloudformation:stack-name=network-mapping;aws:cloudformation:logical-id=DevOpsRouteTable"
"devops-locked-vpc","rtb-093b34380bb136a61","vpc-0f7fa8fdff02da590","***","rtbassoc-0f65cbd42e1c4db02","associated","true","-","10.2.0.0/16","local","-","-","CreateRouteTable","active",""
"devops-private-vpc","rtb-0a01a0b09d8ff4547","vpc-0dd98b0cb5d3ded56","***","rtbassoc-0eada6e53becb9177","associated","false","subnet-0ebc71f9acbeba83c","10.0.0.0/16","-","-","pcx-0b2f7050573bcea16","CreateRoute","active","DevOps=true;aws:cloudformation:logical-id=PrivateRouteTable;aws:cloudformation:stack-name=network-mapping;Name=DevOps-PrivateRouteTable;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","rtb-0a01a0b09d8ff4547","vpc-0dd98b0cb5d3ded56","***","rtbassoc-0eada6e53becb9177","associated","false","subnet-0ebc71f9acbeba83c","10.1.0.0/16","local","-","-","CreateRouteTable","active","DevOps=true;aws:cloudformation:logical-id=PrivateRouteTable;aws:cloudformation:stack-name=network-mapping;Name=DevOps-PrivateRouteTable;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","rtb-0a01a0b09d8ff4547","vpc-0dd98b0cb5d3ded56","***","rtbassoc-0eada6e53becb9177","associated","false","subnet-0ebc71f9acbeba83c","0.0.0.0/0","-","-","pcx-0b2f7050573bcea16","CreateRoute","active","DevOps=true;aws:cloudformation:logical-id=PrivateRouteTable;aws:cloudformation:stack-name=network-mapping;Name=DevOps-PrivateRouteTable;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","rtb-0a01a0b09d8ff4547","vpc-0dd98b0cb5d3ded56","***","rtbassoc-0eada6e53becb9177","associated","false","subnet-0ebc71f9acbeba83c","pl-63a5400a","vpce-0d3fa9c6ea83d144d","-","-","CreateRoute","active","DevOps=true;aws:cloudformation:logical-id=PrivateRouteTable;aws:cloudformation:stack-name=network-mapping;Name=DevOps-PrivateRouteTable;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d"
"devops-private-vpc","rtb-05c18e151ae6ed214","vpc-0dd98b0cb5d3ded56","***","rtbassoc-0847c3bd9eaf8fbb9","associated","true","-","10.1.0.0/16","local","-","-","CreateRouteTable","active",""
"devops-public-vpc","rtb-0a105b3415eec5b66","vpc-028b2dc2728406fd9","***","rtbassoc-04ef5dbae678a5c08","associated","false","subnet-03ea1805ea65cba01","10.0.0.0/16","local","-","-","CreateRouteTable","active","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;DevOps=true;Name=DevOps-PublicRouteTable;aws:cloudformation:logical-id=PublicRouteTable;aws:cloudformation:stack-name=network-mapping"
"devops-public-vpc","rtb-0a105b3415eec5b66","vpc-028b2dc2728406fd9","***","rtbassoc-04ef5dbae678a5c08","associated","false","subnet-03ea1805ea65cba01","10.1.0.0/16","-","-","pcx-0b2f7050573bcea16","CreateRoute","active","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;DevOps=true;Name=DevOps-PublicRouteTable;aws:cloudformation:logical-id=PublicRouteTable;aws:cloudformation:stack-name=network-mapping"
"devops-public-vpc","rtb-0a105b3415eec5b66","vpc-028b2dc2728406fd9","***","rtbassoc-04ef5dbae678a5c08","associated","false","subnet-03ea1805ea65cba01","0.0.0.0/0","igw-00c373c8feb8a9fc9","-","-","CreateRoute","active","aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:***:stack/network-mapping/abc89460-5c7a-11f0-9326-0affc332652d;DevOps=true;Name=DevOps-PublicRouteTable;aws:cloudformation:logical-id=PublicRouteTable;aws:cloudformation:stack-name=network-mapping"
"devops-public-vpc","rtb-0c47202b5a86ce142","vpc-028b2dc2728406fd9","***","rtbassoc-02a8bd685ed7c6224","associated","true","-","10.0.0.0/16","local","-","-","CreateRouteTable","active",""
